timestamp,ref,pkg,name,ns_op,bytes_op,allocs_op
20260829T175120Z,nogit,./internal/utils,BenchmarkDiffLines_LargeDissimilar-10,44950030,102593024,364
20260829T175120Z,nogit,./internal/utils,BenchmarkDiffLines_LargeDissimilar-10,44038995,102593024,364
20260829T175120Z,nogit,./internal/utils,BenchmarkDiffLines_LargeDissimilar-10,43908614,102593024,364
20260829T175120Z,nogit,./internal/utils,BenchmarkDiffLines_LargeDissimilar-10,43927497,102593024,364
20260829T175120Z,nogit,./internal/utils,BenchmarkDiffLinesMyers_ExtraLargeSimilar-10,45979998,433661938,6
20260829T175120Z,nogit,./internal/utils,BenchmarkDiffLinesMyers_ExtraLargeSimilar-10,34274370,433661696,6
20260829T175120Z,nogit,./internal/utils,BenchmarkDiffLinesMyers_ExtraLargeSimilar-10,32470515,433661696,6
20260829T175120Z,nogit,./internal/utils,BenchmarkDiffLinesMyers_ExtraLargeSimilar-10,32229626,433661696,6
20260829T175120Z,nogit,./internal/utils,BenchmarkDiffLinesMyers_ExtraLargeSimilar-10,33541618,433661696,6
20260829T175120Z,nogit,./internal/utils,BenchmarkDiffLinesMyers_ExtraLargeSimilar-10,33950218,433661696,6
20260829T175120Z,nogit,./internal/utils,BenchmarkDiffLines_ExtraLargeSimilar-10,19736337,144713472,6
20260829T175120Z,nogit,./internal/utils,BenchmarkDiffLines_ExtraLargeSimilar-10,20431873,144713473,6
20260829T175120Z,nogit,./internal/utils,BenchmarkDiffLines_ExtraLargeSimilar-10,19693947,144713473,6
20260829T175120Z,nogit,./internal/utils,BenchmarkDiffLines_ExtraLargeSimilar-10,19700692,144713472,6
20260829T175120Z,nogit,./internal/utils,BenchmarkDiffLines_ExtraLargeSimilar-10,20030459,144713472,6
20260829T175120Z,nogit,./internal/utils,BenchmarkDiffLines_ExtraLargeSimilar-10,19666842,144713472,6
20260829T175120Z,nogit,./internal/utils,BenchmarkDiffLines_ExtraLargeDissimilar_BailoutOnly-10,13510621,97810176,2391
20260829T175120Z,nogit,./internal/utils,BenchmarkDiffLines_ExtraLargeDissimilar_BailoutOnly-10,13309970,97810176,2391
20260829T175120Z,nogit,./internal/utils,BenchmarkDiffLines_ExtraLargeDissimilar_BailoutOnly-10,13632256,97810176,2391
20260829T175120Z,nogit,./internal/utils,BenchmarkDiffLines_ExtraLargeDissimilar_BailoutOnly-10,13666020,97810176,2391
20260829T175120Z,nogit,./internal/utils,BenchmarkDiffLines_ExtraLargeDissimilar_BailoutOnly-10,13348756,97810176,2391
20260829T175120Z,nogit,./internal/utils,BenchmarkDiffLines_ExtraLargeDissimilar_BailoutOnly-10,13413448,97810176,2391
20260829T175120Z,nogit,./internal/utils,BenchmarkDiffLines_ExtraLargeDissimilar-10,1807390333,2152792576,479
